Person Campus ID,2014,2015,2016,2017,2018,2019
64412,224,65,39,8,49,0
64532,1,0,0,0,0,0
76666,1,2,0,0,0,0
275815,1,19,0,0,0,0
292232,0,7,0,0,0,0
320008,1,0,0,0,0,0
618646,0,0,0,0,14,0
626444,4,0,0,0,0,0
682075,0,0,1,0,0,0
761016,0,0,8,0,12,0
785728,3,2,0,0,0,0
852352,2,3,0,1,0,0
912514,0,1,0,1,0,0
918317,1,0,0,0,0,0
980812,1,0,0,0,0,0
995600,0,0,0,1,0,0
999153,10,0,11,0,0,0
1018311,61,18,0,0,0,0
1045682,54,113,112,166,0,0
1055331,0,1,2,0,0,0
1056063,1,2,0,0,0,0
1061279,1,0,6,1,0,0
1066353,0,9,0,0,0,0
1071004,0,1,0,0,0,0
1077525,0,0,2,0,0,0
1085533,0,2,0,0,0,0
1100781,0,2,0,0,0,0
1107163,0,0,0,0,29,4
1122435,0,1,0,0,0,0
1125676,0,0,8,0,0,0
1139478,0,13,0,0,0,0
1160418,0,2,0,0,0,0
1164011,9,0,0,0,0,0
1165412,0,0,0,1,2,0
1166246,1,1,0,0,0,0
1170483,0,68,9,8,0,0
1190230,2,8,0,0,0,0
1216689,1,4,2,0,0,0
1219170,103,51,0,0,0,0
1220726,1,0,0,0,0,0
1221997,0,0,268,150,2,0
1223358,1,16,17,0,0,0
1227920,0,1,0,0,0,0
1229424,0,0,0,10,0,0
1230847,6,0,0,0,0,0
1232785,0,0,49,0,0,0
1237440,0,78,4,1,0,0
1238724,1,0,0,0,0,0
1241754,0,1,0,0,0,0
1242585,1,7,44,27,13,6
1250732,5,2,4,0,0,0
1252403,32,0,0,0,0,0
1252780,5,0,0,0,0,0
1253734,0,0,0,49,11,2
1257993,0,2,2,0,0,0
1261872,0,4,0,0,0,0
1265810,0,0,7,0,0,0
1281686,0,0,0,0,15,0
1287323,1,0,0,0,0,0
1303524,1,2,0,0,0,0
1303751,0,1,0,0,0,0
1312234,0,1,0,3,0,0
1315827,0,1,0,0,0,0
1316308,1,1,0,0,0,0
1317200,12,2,0,0,0,0
1320249,0,0,0,0,6,0
1358673,12,0,0,0,0,0
1362755,22,0,0,0,0,0
1368648,0,0,0,2,0,0
1376434,0,0,21,129,67,12
1376888,1,0,0,0,0,0
1377490,2,0,0,0,0,0
1378849,3,1,0,0,0,0
1385182,0,1,0,0,0,0
1386374,1,5,4,0,0,0
1387883,0,4,0,0,0,0
1389431,0,0,1,0,0,0
1392073,0,0,0,1,0,0
1392153,1,0,0,0,0,0
1393286,0,2,0,0,0,0
1397941,0,57,3,0,0,0
1398145,12,0,0,0,0,0
1400512,0,2,0,0,0,0
1401486,2,0,0,0,0,0
1403617,0,1,0,0,0,0
1404637,16,19,0,0,0,0
1405164,2,0,1,0,0,0
1405809,0,26,126,148,163,33
1409869,0,0,0,0,2,0
1411325,3,0,0,0,0,0
1418381,1,0,0,0,0,0
1419352,54,46,0,0,0,0
1421613,0,0,11,0,0,0
1421698,0,2,0,0,0,0
1421760,1,0,0,0,0,0
1422565,1,7,0,0,0,0
1423013,0,19,0,0,0,0
1423521,4,0,0,0,0,0
1427688,2,0,0,0,0,0
1429885,0,1,0,0,0,0
1429929,0,67,74,8,0,0
1430407,0,2,0,0,0,0
1431378,0,20,41,0,0,0
1434063,0,1,0,0,0,0
1435311,0,5,0,0,0,0
1435559,0,1,0,0,0,0
1437115,0,0,0,2,0,0
1437589,1,2,0,0,0,0
1437848,2,0,0,0,0,0
1438038,0,0,7,6,3,0
1439314,1,0,0,0,0,0
1439994,0,0,1,0,0,0
1441035,0,1,0,0,0,0
1441253,2,0,0,0,0,0
1441671,0,0,63,127,0,0
1441971,1,1,5,0,0,0
1442827,1,0,0,0,0,0
1443570,0,0,0,4,1,0
1446211,2,14,0,0,0,0
1447408,1,1,0,2,0,0
1447502,0,3,0,0,0,0
1449224,0,2,0,0,0,0
1449245,1,1,0,0,0,0
1449249,2,0,0,0,0,0
1450883,0,0,10,46,5,0
1452819,1,3,26,1,0,0
1453634,0,98,84,0,0,0
1454685,0,0,1,0,0,0
1455256,0,2,0,0,0,0
1456329,0,0,2,0,0,0
1456938,0,1,0,0,0,0
1460592,0,0,5,4,25,2
1463615,1,0,0,0,0,0
1466164,3,4,0,0,0,0
1467317,0,0,68,0,5,31
1467895,1,0,0,0,0,0
1468039,0,3,0,0,0,0
1468967,1,16,0,0,0,0
1469035,0,1,0,0,0,0
1470013,0,7,2,0,0,0
1470024,8,6,0,0,0,0
1470889,0,0,5,0,0,0
1471181,1,0,0,0,0,0
1472169,0,0,0,0,0,2
1472279,1,0,0,0,0,0
1472410,57,0,0,0,0,0
1472487,0,6,0,0,0,0
1472740,0,7,0,0,0,0
1472859,1,0,0,0,0,0
1472895,1,0,0,0,0,0
1478879,10,1,0,0,0,0
1478925,0,5,6,0,0,0
1479517,0,1,0,0,0,0
1479693,0,12,0,0,0,0
1480038,0,0,0,7,0,0
1480401,0,0,2,0,0,0
1480596,0,135,147,0,0,0
1480788,19,2,3,14,0,0
1481157,1,0,0,0,0,0
1481301,0,3,0,0,0,0
1481621,0,1,0,0,0,0
1481845,2,3,1,1,0,0
1483270,12,12,0,0,0,0
1483322,0,4,0,0,0,0
1483338,0,0,0,0,5,10
